date,symbol,expiry,strike,option_type,open,high,low,close,settle_price,underlying_price,open_interest,oi_change,volume
2024-12-02,NIFTY,2026-06-25,26000.0,PE,0.0,0.0,0.0,6709.2,1231.85,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2027-06-24,26000.0,CE,0.0,0.0,0.0,1900.85,3443.55,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-05,22250.0,CE,0.0,0.0,0.0,2352.25,2038.4,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-02-27,22250.0,PE,0.0,0.0,0.0,129.25,41.7,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-12,22250.0,PE,5.35,5.35,2.55,3.4,3.4,24276.05,600.0,600.0,182.0
2024-12-02,NIFTY,2024-12-05,23550.0,CE,573.3,809.65,521.85,761.55,761.55,24276.05,30800.0,4275.0,3324.0
2024-12-02,NIFTY,2025-01-02,23000.0,PE,77.4,79.95,58.2,66.75,66.75,24276.05,1800.0,1800.0,33.0
2024-12-02,NIFTY,2029-06-28,23000.0,CE,0.0,0.0,0.0,8636.0,7694.35,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,18500.0,CE,0.0,0.0,0.0,5199.0,5858.0,24276.05,1050.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,24550.0,CE,191.05,296.5,170.0,271.5,271.5,24276.05,85825.0,1925.0,8833.0
2024-12-02,NIFTY,2027-06-24,23000.0,CE,0.0,0.0,0.0,2530.05,5298.45,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-02,24550.0,CE,0.0,0.0,0.0,167.65,326.25,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-02,24550.0,PE,0.0,0.0,0.0,1162.4,459.85,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,23550.0,CE,837.8,1002.25,821.85,965.2,965.2,24276.05,26000.0,-4475.0,275.0
